FECHA_CORTE,ANIO,MES,ID_CLASE,CLASE,ID_CATEGORIA,CATEGORIA,DEPARTAMENTO,ID_UBIGEO,NUMERO_ESTABLECIMIENTOS,NUMERO_HABITACIONES,NUMERO_PLAZAS_CAMA,PORCENTAJE_TNOH,PORCENTAJE_TNOC,PROMEDIO_PERMANENCIA,PROMEDIO_PERMANENCIA_NAC,PROMEDIO_PERMANENCIA_EXT,TOTAL_ARRIBOS,TOTAL_ARRIBOS_NAC,TOTAL_ARRIBOS_EXT,TOTAL_PERNOCT,TOTAL_PERNOCT_NAC,TOTAL_PERNOCT_EXT,TOTAL_EMPLEO,ARCHIVO_ORIGEN,FECHA,TASA_OCUPABILIDAD_HOTELERA,TASA_OCUPABILIDAD_HOTELERA_FUTURA,MES_SIN,MES_COS,TASA_LAG_1,TASA_LAG_2,TASA_LAG_3,ARRIBOS_LAG_1,PERNOCT_LAG_1,EMPLEO_LAG_1,TASA_MEDIA_MOVIL_3,ES_COVID_2020,TENDENCIA_MESES
,2019,4,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,372,5072,8122,23.06,18.1,1.17,1.14,1.78,38011,35932,2079,44899,40924,3975,916,Indicadores_ocupabilidad_2019.csv,2019-04-01,23.06,20.03,0.8660254037844387,-0.4999999999999998,25.01,25.96,28.2,40135.0,46118.0,909.0,26.39,0,0
,2019,5,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,367,5054,8062,20.03,14.93,1.2,1.16,1.68,32993,30945,2048,39594,35667,3927,902,Indicadores_ocupabilidad_2019.csv,2019-05-01,20.03,25.85,0.49999999999999994,-0.8660254037844387,23.06,25.01,25.96,38011.0,44899.0,916.0,24.676666666666666,0,1
,2019,6,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,367,5056,8064,25.85,18.54,1.21,1.19,1.73,38075,36258,1817,45598,42217,3381,914,Indicadores_ocupabilidad_2019.csv,2019-06-01,25.85,29.94,1.2246467991473532e-16,-1.0,20.03,23.06,25.01,32993.0,39594.0,902.0,22.700000000000003,0,2
,2019,7,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,372,5172,8278,29.94,23.06,1.23,1.21,1.6,49923,47364,2559,60853,56387,4466,941,Indicadores_ocupabilidad_2019.csv,2019-07-01,29.94,28.45,-0.4999999999999997,-0.8660254037844388,25.85,20.03,23.06,38075.0,45598.0,914.0,22.98,0,3
,2019,8,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,372,5153,8251,28.45,22.42,1.31,1.27,1.81,45887,42861,3026,59073,53092,5981,933,Indicadores_ocupabilidad_2019.csv,2019-08-01,28.45,25.05,-0.8660254037844384,-0.5000000000000004,29.94,25.85,20.03,49923.0,60853.0,941.0,25.27333333333333,0,4
,2019,9,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,372,5565,9190,25.05,20.56,1.32,1.29,1.83,41447,39004,2443,54469,49860,4609,924,Indicadores_ocupabilidad_2019.csv,2019-09-01,25.05,23.36,-1.0,-1.8369701987210297e-16,28.45,29.94,25.85,45887.0,59073.0,933.0,28.08,0,5
,2019,10,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,372,5598,9205,23.36,17.95,1.33,1.31,1.67,38845,36801,2044,51684,47728,3956,921,Indicadores_ocupabilidad_2019.csv,2019-10-01,23.36,25.74,-0.8660254037844386,0.5000000000000001,25.05,28.45,29.94,41447.0,54469.0,924.0,27.813333333333333,0,6
,2019,11,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,369,5179,8394,25.74,19.0,1.32,1.3,1.72,37759,35860,1899,49065,45546,3519,926,Indicadores_ocupabilidad_2019.csv,2019-11-01,25.74,24.76,-0.5000000000000004,0.8660254037844384,23.36,25.05,28.45,38845.0,51684.0,921.0,25.62,0,7
,2019,12,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,369,5178,8393,24.76,17.56,1.27,1.26,1.51,37409,35778,1631,46630,43995,2635,922,Indicadores_ocupabilidad_2019.csv,2019-12-01,24.76,25.69,-2.4492935982947064e-16,1.0,25.74,23.36,25.05,37759.0,49065.0,926.0,24.716666666666665,0,8
,2020,1,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,388,5298,8679,25.69,18.89,1.14,1.14,1.38,47529,46038,1491,54897,52893,2004,925,Indicadores_ocupabilidad_2020.csv,2020-01-01,25.69,27.77,0.49999999999999994,0.8660254037844387,24.76,25.74,23.36,37409.0,46630.0,922.0,24.62,1,9
,2020,2,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,392,5296,8693,27.77,18.81,1.14,1.14,1.15,43247,41956,1291,50118,48442,1676,827,Indicadores_ocupabilidad_2020.csv,2020-02-01,27.77,11.77,0.8660254037844386,0.5000000000000001,25.69,24.76,25.74,47529.0,54897.0,925.0,25.396666666666665,1,10
,2020,3,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,385,5123,8287,11.77,8.7,1.15,1.15,1.14,22164,21729,435,28125,27414,711,747,Indicadores_ocupabilidad_2020.csv,2020-03-01,11.77,0.94,1.0,6.123233995736766e-17,27.77,25.69,24.76,43247.0,50118.0,827.0,26.073333333333334,1,11
,2020,4,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,38,739,1152,0.94,0.85,0.99,0.99,0.0,235,235,0,288,288,0,75,Indicadores_ocupabilidad_2020.csv,2020-04-01,0.94,3.52,0.8660254037844387,-0.4999999999999998,11.77,27.77,25.69,22164.0,28125.0,747.0,21.743333333333336,1,12
,2020,5,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,55,1217,1898,3.52,2.75,3.71,3.71,0.0,837,837,0,1792,1792,0,96,Indicadores_ocupabilidad_2020.csv,2020-05-01,3.52,5.13,0.49999999999999994,-0.8660254037844387,0.94,11.77,27.77,235.0,288.0,75.0,13.493333333333334,1,13
,2020,6,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,55,1208,1895,5.13,3.18,1.04,1.04,0.27,1933,1920,13,1986,1973,13,187,Indicadores_ocupabilidad_2020.csv,2020-06-01,5.13,8.47,1.2246467991473532e-16,-1.0,3.52,0.94,11.77,837.0,1792.0,96.0,5.41,1,14
,2020,7,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,120,2348,3721,8.47,6.26,1.41,1.4,0.47,4636,4556,80,7497,7273,224,340,Indicadores_ocupabilidad_2020.csv,2020-07-01,8.47,18.12,-0.4999999999999997,-0.8660254037844388,5.13,3.52,0.94,1933.0,1986.0,187.0,3.1966666666666668,1,15
,2020,8,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,140,2735,4391,18.12,13.67,1.56,1.54,1.95,11970,11657,313,19657,18770,887,413,Indicadores_ocupabilidad_2020.csv,2020-08-01,18.12,18.8,-0.8660254037844384,-0.5000000000000004,8.47,5.13,3.52,4636.0,7497.0,340.0,5.706666666666667,1,16
,2020,9,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,144,2857,4589,18.8,13.0,1.41,1.41,1.42,12761,12604,157,18957,18602,355,431,Indicadores_ocupabilidad_2020.csv,2020-09-01,18.8,16.7,-1.0,-1.8369701987210297e-16,18.12,8.47,5.13,11970.0,19657.0,413.0,10.573333333333334,1,17
,2020,10,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,156,2962,4844,16.7,13.67,1.29,1.28,1.59,14765,14596,169,22072,21672,400,400,Indicadores_ocupabilidad_2020.csv,2020-10-01,16.7,17.51,-0.8660254037844386,0.5000000000000001,18.8,18.12,8.47,12761.0,18957.0,431.0,15.13,1,18
,2020,11,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,209,3598,5812,17.51,13.23,1.33,1.33,1.12,16644,16465,179,25406,25023,383,476,Indicadores_ocupabilidad_2020.csv,2020-11-01,17.51,18.22,-0.5000000000000004,0.8660254037844384,16.7,18.8,18.12,14765.0,22072.0,400.0,17.873333333333335,1,19
,2020,12,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,260,4199,6705,18.22,14.44,1.26,1.26,0.78,23400,23271,129,32581,32333,248,650,Indicadores_ocupabilidad_2020.csv,2020-12-01,18.22,19.49,-2.4492935982947064e-16,1.0,17.51,16.7,18.8,16644.0,25406.0,476.0,17.67,1,20
,2021,1,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,362,4580,7353,19.49,15.42,1.17,1.17,1.25,32842,32581,261,38404,38068,336,779,Indicadores_ocupabilidad_2021.csv,2021-01-01,19.49,16.47,0.49999999999999994,0.8660254037844387,18.22,17.51,16.7,23400.0,32581.0,650.0,17.47666666666667,0,21
,2021,2,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,358,4550,7256,16.47,12.76,1.26,1.26,1.2,23724,23207,517,28607,27944,663,777,Indicadores_ocupabilidad_2021.csv,2021-02-01,16.47,16.52,0.8660254037844386,0.5000000000000001,19.49,18.22,17.51,32842.0,38404.0,779.0,18.406666666666666,0,22
,2021,3,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,353,4500,7181,16.52,13.62,1.23,1.23,1.48,27275,27176,99,32293,32157,136,770,Indicadores_ocupabilidad_2021.csv,2021-03-01,16.52,14.37,1.0,6.123233995736766e-17,16.47,19.49,18.22,23724.0,28607.0,777.0,18.06,0,23
,2021,4,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,348,4385,7031,14.37,11.72,1.2,1.19,1.69,23419,22742,677,27499,26488,1011,753,Indicadores_ocupabilidad_2021.csv,2021-04-01,14.37,15.93,0.8660254037844387,-0.4999999999999998,16.52,16.47,19.49,27275.0,32293.0,770.0,17.49333333333333,0,24
,2021,5,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,348,4377,7017,15.93,13.3,1.27,1.27,1.32,25564,24462,1102,31603,30177,1426,764,Indicadores_ocupabilidad_2021.csv,2021-05-01,15.93,21.19,0.49999999999999994,-0.8660254037844387,14.37,16.52,16.47,23419.0,27499.0,753.0,15.786666666666667,0,25
,2021,6,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,349,4364,6989,21.19,16.51,1.22,1.22,1.24,30895,29990,905,37617,36477,1140,767,Indicadores_ocupabilidad_2021.csv,2021-06-01,21.19,23.84,1.2246467991473532e-16,-1.0,15.93,14.37,16.52,25564.0,31603.0,764.0,15.606666666666667,0,26
,2021,7,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,352,4425,7087,23.84,20.2,1.23,1.23,1.26,37500,36510,990,46892,45591,1301,771,Indicadores_ocupabilidad_2021.csv,2021-07-01,23.84,26.05,-0.4999999999999997,-0.8660254037844388,21.19,15.93,14.37,30895.0,37617.0,767.0,17.16333333333333,0,27
,2021,8,TT,TODAS CONSOLIDADAS,TT,TODAS CONSOLIDADAS,AMAZONAS,010000,356,4519,7334,26.05,21.19,1.26,1.25,1.44,39700,38781,919,50307,49025,1282,794,Indicadores_ocupabilidad_2021.csv,2021-08-01,26.05,26.14,-0.8660254037844384,-0.5000000000000004,23.84,21.19,15.93,37500.0,46892.0,771.0,20.32,0,28
