Variable,Importancia
num__TASA_OCUPABILIDAD_HOTELERA,0.7331833780044746
num__TASA_MEDIA_MOVIL_3,0.04118621097323242
num__TASA_LAG_1,0.029467350308845376
num__MES_SIN,0.02356814455094999
num__ES_COVID_2020,0.020094159716967906
num__TASA_LAG_2,0.019957118736894885
num__PROMEDIO_PERMANENCIA,0.017322189996459188
num__TENDENCIA_MESES,0.015128202369414874
num__MES,0.012358321215107817
num__MES_COS,0.011799288354570387
num__TASA_LAG_3,0.011587620286983073
num__TOTAL_ARRIBOS,0.007974074093778793
num__ARRIBOS_LAG_1,0.007291763440690786
num__TOTAL_PERNOCT,0.0068337095687496545
num__PERNOCT_LAG_1,0.006362038177294083
num__EMPLEO_LAG_1,0.0061958347669480995
num__NUMERO_ESTABLECIMIENTOS,0.005727945758185802
num__TOTAL_EMPLEO,0.004944742211273362
num__NUMERO_PLAZAS_CAMA,0.004562719707226851
num__NUMERO_HABITACIONES,0.0030457980476907586
cat__DEPARTAMENTO_PIURA,0.00251166998463069
num__ANIO,0.00223480524961443
cat__DEPARTAMENTO_TUMBES,0.0012229660972887895
cat__DEPARTAMENTO_SAN MARTÍN,0.0007043754938833031
cat__DEPARTAMENTO_ICA,0.0006598575405076459
cat__DEPARTAMENTO_LA LIBERTAD,0.0006506563705315637
cat__DEPARTAMENTO_AYACUCHO,0.0005423006209702978
cat__DEPARTAMENTO_TACNA,0.00045465154538183315
cat__DEPARTAMENTO_CAJAMARCA,0.00044453302223456303
cat__DEPARTAMENTO_PASCO,0.00036214634576616113
cat__DEPARTAMENTO_UCAYALI,0.0003438288937036212
cat__DEPARTAMENTO_CUSCO,0.0002985512098516042
cat__DEPARTAMENTO_AREQUIPA,0.00015691023289444935
cat__DEPARTAMENTO_JUNÍN,0.00013578942298167392
cat__DEPARTAMENTO_PUNO,0.00012701029939426572
cat__DEPARTAMENTO_LORETO,0.00012078560539949317
cat__DEPARTAMENTO_CALLAO,9.482601841484226e-05
cat__DEPARTAMENTO_ÁNCASH,9.287575174791234e-05
cat__DEPARTAMENTO_LIMA,5.16516149025898e-05
cat__DEPARTAMENTO_HUÁNUCO,5.025702046792626e-05
cat__DEPARTAMENTO_MADRE DE DIOS,3.681401909552773e-05
cat__DEPARTAMENTO_MOQUEGUA,3.4734170187575685e-05
cat__DEPARTAMENTO_APURÍMAC,2.3081737658267824e-05
cat__DEPARTAMENTO_AMAZONAS,2.2660140590554572e-05
cat__DEPARTAMENTO_LAMBAYEQUE,1.901678112883889e-05
cat__DEPARTAMENTO_HUANCAVELICA,1.2634525032800068e-05
